Influent NH4+-N,Influent TN,Influent Flowrate,DO of Zone 5,TN of Zone 5,COD of Zone 6,TN of Zone 6,DO of Zone 7,COD of Zone 7,TN of Zone 7,Effluent TN,Energy Consumption,External Carbon Source
26.4,28.94,46097.1,4.12,15.15,48.43,10.15,2.8,29.32,8.48,5.32,15971.67,1.94
33.62,40.15,43422.28,6.88,30.39,64.97,12.06,0.08,46.49,10.21,5.7,18947.02,3.17
34.92,40.19,42458.22,7.8,28.57,49.65,9.62,0.07,41.52,8.15,4.74,18962.84,3.99
34.29,39.7,40088.18,6.66,30.56,64.56,12.1,0.07,45.11,10.14,5.76,18857.9,3.19
34.77,40.18,42558.67,7.69,28.8,51.55,9.92,0.07,42.13,8.39,4.86,18973.74,3.89
17.96,20.36,65748.32,10.34,11.42,29.61,7.77,0.13,22.2,5.21,5.42,20600,2.2
20.37,22.06,65848.74,9.09,12.84,26.16,8.57,0.13,23.58,7.04,5.72,20647.14,1.68
16,19.71,67483.84,9.06,12.78,21.95,9.18,0.14,19.85,6.02,5.59,20562.8,1.49
22.24,23.84,65697.1,9.29,12.93,28.49,9.59,0.11,23.32,7.46,5.55,20575.08,1.88
29.5,30.64,66025.22,8.68,17.28,22.95,12.09,0.14,27.99,10.09,5.7,20111.7,2.29
28.29,29.66,66116.2,8.97,16.54,26.81,11.41,0.14,27.94,9.43,5.68,20181.69,2.37
25.84,27.67,66301.01,9.56,15.05,34.67,10.03,0.13,27.83,8.1,5.64,20323.85,2.54
27.51,29.41,66827.99,8.53,18.57,31.79,9.07,0.13,31.8,8.83,5.13,21378.11,1.94
22.66,24.12,44041.28,7.01,34.47,50.61,8.44,6.88,24.61,6.05,5.88,16361.17,3.54
23.14,23.98,43918.81,6.73,35.11,49.72,7.96,6.89,25.31,5.54,5.74,16241.46,3.65
25.28,27.08,44617.91,7.4,33.1,47.97,7.18,6.87,26.53,5.92,4.68,16240,3.65
23.23,25.09,44537.69,7.13,35.01,49.63,8.37,6.89,24.49,6.05,5.91,16374.44,3.36
14.91,16.8,65572.45,8.98,12.47,24.53,6.68,0.14,24.07,5.61,5.6,20750,1.64
14.85,16.82,66051,8.9,12.31,23.77,5.89,0.13,24.66,5.6,5.04,20588.39,1.37
13.93,18.11,67725.36,9.02,12.67,20.08,8.58,0.14,19.55,5.46,5.58,20579.78,1.37
15.61,17.97,65844.4,9.26,12.24,23.2,6.35,0.13,23.96,5.44,5.64,20722.57,1.54
40.84,46.21,31718.69,7.75,18.9,72.95,10.42,0.08,40.51,6.74,5.69,18311.98,2.86
32.03,36.23,32581.19,9.12,14.79,59.69,7.79,0.08,41.39,5.29,5.68,18050,3.61
36.67,40.81,31310.38,7.99,19.41,71.86,8.95,0.08,42.9,6.3,5.71,18039.31,3.2
38.14,41.94,31242.85,8.08,19.33,73.71,9.18,0.08,42.45,6.49,5.78,18122.72,3.1
27.14,33.29,41245.28,6.44,17.61,57.74,11.38,0.13,38.55,10.66,5.81,17736.38,3.22
28.42,33.69,44037.51,7.11,17.28,56.48,10.19,0.07,41.75,9.86,5.88,17996.46,2.74
29.77,34.48,47702.5,8.01,16.58,55.52,8.44,0.08,45.81,8.87,5.97,18258.53,2.14
27.2,33.21,41105.06,6.43,17.95,57.32,11.36,0.03,38.52,10.59,5.8,17875.09,3.17
17.32,21.75,47865.97,3.52,18.05,41.49,10.39,4.14,27.13,14.78,5.84,14842.59,2.55
17.5,21.31,47983.18,3.48,18.09,41.94,10.6,4.19,27.21,14.97,5.82,14848.5,2.56
17.77,21.4,47270.8,3.61,18.22,42.04,10.23,4.19,27.14,14.79,5.83,14816.16,2.64
17.85,21.45,47336.99,3.52,18,41.81,10.23,4.29,27.07,15.08,5.82,14928.72,2.65
26.28,27.08,36534.89,7.82,21.52,47.05,12.36,0.83,35.56,4.78,5.11,11989.64,2.51
28.76,29.7,37562.41,5.98,22.89,56.28,15.16,1.18,38.32,9.8,5.87,11451.39,2.53
28.44,29.24,37113.71,6.2,22.79,54.81,14.71,1.02,38.17,9.03,5.74,11569.83,2.54
36.29,37.01,39183.89,5.71,24.64,55.55,17.67,0.92,39.07,10.88,6.01,12483.04,2.28
29,31.58,45519.26,3.77,13.16,20.87,16.45,1.56,22.44,11.82,5.89,16525.5,2.05
29.14,31.62,46147.65,3.68,13.12,21.54,16.56,1.55,22.72,11.76,5.87,16397.63,2.06
29.31,31.56,44710.32,3.62,13.11,21.37,16.55,1.53,22.62,11.66,5.88,16350.94,2.04
29.33,31.56,45226.4,3.74,13.26,21.72,16.51,1.52,22.34,11.73,5.89,16503.92,2.01
29.84,39.71,43811.47,8.47,14.54,77.22,6.01,0.2,49.82,7.43,5.92,18141.62,5.01
28.78,36.25,42515.42,7.38,16.32,66.83,8.86,0.07,44.04,9.12,5.86,17943.05,4.06
30.51,39.7,44154.18,8.49,15.03,77.4,6.05,0.13,49.95,7.42,5.91,18190.26,5.03
30.35,38.46,45365.52,8.45,15.09,71.61,6.36,0.08,49.41,7.71,5.94,18177.59,4.19
12.89,15.22,67091.84,9.96,11.98,33.32,7.11,0.14,24.77,5.33,5.6,21079.37,1.82
14.54,16.38,66178.03,8.9,12.18,25.09,5.77,0.13,24.84,5.59,4.68,20516.49,1.38
13.65,15.02,65346.49,9.26,12.23,31.51,7.69,0.15,23.96,5.52,5.53,20836.81,2.19
12.52,15.39,66898.86,10.15,11.66,32.51,6.63,0.14,26.09,5.09,5.83,21119.63,1.9
22.04,23.56,50032.15,10.17,19.4,32.47,10.39,4.16,15.3,7.94,4.7,13972.18,2.6
21.25,22.77,42791.76,9.98,22.45,34.29,13.33,4.09,16.72,10,5.67,14265.13,2.58
19.91,22.54,42110.44,9.93,23.4,32.69,13.56,3.99,18.12,10.39,5.42,14389.01,2.88
22.6,23.05,43461.84,9.99,21.53,36.2,13.01,4.3,15.28,9.67,5.93,14128.53,2.29
21.69,23.91,44802.75,8.25,32.51,53.83,8.79,6.91,24.38,6.9,6.32,16658.6,3.27
23.33,23.36,44438.34,7.39,34.65,50.88,7.05,6.94,26.94,5.13,5.82,16249.23,3.65
23.53,25.96,45821.99,8.25,34.44,50.59,8.05,6.94,24.93,6.32,6.21,16554.34,2.98
21.91,23.75,44843.91,8.25,32.68,53.68,8.45,6.92,24.94,6.63,6.28,16612.55,3.31
28.36,32.15,65243.24,5.87,19.27,54.32,10.28,0.13,41.86,8.56,5.96,21905.7,4.11
25.74,29.17,66111.86,9.02,17.59,48.9,9.03,0.13,39.24,6.9,5.62,22279.29,4.11
28.48,32.22,65051.94,5.84,19.29,54.25,10.3,0.18,41.87,8.66,5.96,21839.1,4.1
26.37,29.87,65905.77,8.27,17.99,50.19,9.33,0.13,39.87,7.3,5.7,22190.65,4.11
10.79,12.54,65843.71,10.06,14.86,41.79,8.36,0.13,25.29,5.8,5.94,20277.32,2.71
11.08,12.21,66724.41,10.62,13.85,28.6,5.47,0.13,24.44,5.25,4.46,20489.65,4.05
11.98,13.41,65481.9,9.66,13.94,37.85,8.23,0.14,24.55,5.75,5.75,20452.96,2.55
10.74,12.67,66024.49,10.14,14.7,41.57,8.2,0.13,25.51,5.74,5.96,20332.13,2.66
15.58,18.3,53663.47,10.6,17.52,32.25,5.39,4.79,15.92,3.84,5.98,13451.36,2.28
18.18,20.3,49716.46,10.37,19.11,33.39,8.38,4.53,15.79,6.14,5.96,13698.48,2.28
22.1,22.69,44191.35,10.07,21.23,35.61,12.56,4.23,15.36,9.21,5.93,14089.64,2.28
16.21,19.01,53781.19,10.58,17.28,32.98,6.37,4.75,17.28,4.64,5.3,13537.62,2.28
30.7,34.92,49751.84,8.48,15.99,55.09,7.58,0.05,47.83,8.36,6.03,18328.2,1.84
29.27,34.19,46362.41,7.68,16.83,55.87,9.08,0.08,44.32,9.23,5.94,18162.7,2.36
28.57,33.78,44460.59,7.21,17.2,56.37,9.98,0.07,42.21,9.74,5.89,18026.71,2.67
30.29,34.65,49597.76,8.51,16.15,55.33,7.49,0.08,48,8.28,6.18,18400,1.91
36.38,38.25,27322.45,5.43,31.13,63.28,12.48,0.05,39.81,10.36,6.03,18010.69,3.17
36.46,37.97,27158.56,5.38,31.28,62.68,12.62,0.09,39.92,10.35,6.02,18126.87,3.16
36.54,38.14,28229.96,5.5,31.38,62.52,12.44,0.02,39.99,10.3,6.04,18198.33,3.17
36.62,38.14,27576.05,5.56,31.05,63.33,12.37,0.1,39.99,10.31,6.02,18133.92,3.28
38.17,39.16,39640.31,5.68,25.04,55.55,18.24,0.81,39.35,11.27,6.07,12801.34,2.16
38.44,38.98,39932.59,5.59,24.92,55.51,18.37,0.9,39.14,11.14,6.07,12601.64,2.2
38.64,39.14,39979.15,5.74,25.29,55.45,18.44,0.87,39,11.15,6.06,12726.27,2.21
38.25,39.02,39821.53,5.64,25.06,55.1,18.33,0.89,39.17,11.23,6.06,12733.07,2.19
24.53,29.83,40062.27,7.16,18.37,46.84,10.73,0.08,35.83,8.57,6.19,17884.82,2.1
22.64,28.93,40295.04,7.04,18.75,44.55,13.08,0.15,41.03,9.59,6.07,17664.52,2.77
22.58,28.72,39727.58,7.13,18.76,44.11,13.06,0.17,40.53,9.48,6.09,17672.89,2.79
22.9,28.59,40183.25,7.04,18.91,44.46,12.91,0.05,40.78,9.41,6.05,17600.1,2.69
21.21,24.1,53573.13,2.95,26.09,57.34,8.95,2.29,33.13,5.66,5.35,17667.65,4.03
21.93,24.18,51580.85,1.84,28.52,66.79,10.93,0.79,37.36,8.47,5.51,16844.67,3.87
19.77,23.44,47696.38,1.53,30.02,64.65,11.58,1.49,34,8.64,5.83,16722.95,3.82
18.28,22.11,49178.41,1.28,28.77,66.2,12.61,0.7,36.66,9.5,6.1,16985.39,3.63
31.94,31.42,35573.73,6.62,24.16,35.73,23.41,1.59,28.37,12.65,6.16,14146.09,2.53
32.47,31.58,36343.22,6.6,24.33,36.97,23.52,1.68,27.62,12.7,6.16,14241.88,2.51
32.39,31.32,35673.55,6.62,24.61,36.14,23.44,1.58,27.84,12.61,6.17,14270.73,2.57
32.29,31.57,36032.42,6.68,24.37,36.39,23.54,1.65,27.88,12.65,6.17,14330.05,2.62
26.5,31.3,44700.09,2.18,30.02,61.37,9.58,2.72,28.74,8.33,5.82,17166.75,3.86
26.38,28.05,52880.29,2.42,28.14,66.24,9.13,1.15,36.82,7.67,5.06,16892.09,4.05
28.97,34.39,44251.34,2.44,28.94,61.01,9.51,2.57,28.26,9.16,6.09,17598.49,3.72
26.14,30.9,44735.75,2.16,30.18,61.35,9.59,2.73,28.79,8.24,5.78,17098.18,3.88
29.32,31.44,26450.81,5.95,27.22,30.03,6.86,6.25,30.37,6.32,6.24,7477.26,0.83
29.49,31.39,26191.93,5.99,27.43,29.31,6.83,6.28,30.75,6.24,6.23,7412.14,0.86
29.37,31.24,25977.69,5.93,27.38,29.53,6.94,6.29,30.7,6.25,6.22,7533.72,0.84
29.82,30.86,25891.43,5.98,27.07,29.25,6.84,6.24,30.38,6.28,6.23,7549.44,0.86
26.71,29.13,64534.54,8.53,18,36.8,8.54,0.13,36.41,7.95,5.57,22039,2.97
27.24,29.8,64283.67,8.67,18,34.33,8.02,0.13,36.94,8.04,5.75,22154.26,3.03
26.92,29.39,64435.69,8.59,18,35.83,8.33,0.13,36.62,7.98,5.64,22084.41,3
26.89,29.16,66782.15,8.54,18.9,34.57,7.79,0.13,33.71,8.33,5.05,21909.8,1.96
18.87,20.96,50419.84,9.25,23.91,28.62,11.36,5,16.5,9.9,6.13,14548.9,1.46
17.48,20.99,48013.77,9.32,24.93,27.5,12.05,4.69,18.48,10.46,5.69,14665.78,2.08
16.51,19.74,54289.5,8.79,25.44,24.19,10.39,5.45,17.42,10.14,6.21,14803.9,1.03
18.04,21.71,44366.15,9.62,24.64,29.43,13.01,4.25,19.1,10.65,5.39,14585.5,2.69
9.45,9.91,27758.33,8.54,17.68,31.72,10.57,4.37,24.56,10.41,6.31,9648.23,2.44
9.62,9.86,28506.57,8.57,17.81,32.29,10.54,4.42,24.87,10.35,6.29,9612.9,2.42
9.32,9.85,27619.78,8.62,17.53,31.9,10.54,4.35,25.01,10.48,6.28,9630.73,2.44
9.34,10.04,28166.81,8.57,17.56,31.81,10.52,4.4,25.1,10.52,6.26,9573.03,2.4
21.49,24.45,44841.9,8.24,32.4,53.75,9.36,6.89,23.4,7.34,6.39,16733.27,3.15
24.47,27.45,45535.5,7.96,33.76,48.93,8.06,6.89,24.87,6.55,5.19,16483.77,3.12
23.33,25.87,45096.21,7.53,34.86,49.73,8.55,6.9,24.09,6.38,6.06,16479.21,3.13
19.91,24.49,46051.69,7.49,33.73,46.05,9.32,6.98,23.57,6.6,5.26,16493.81,3.34
15.46,18.15,46924.19,9.08,26.4,22.64,11.8,4.91,14.21,10.73,5.97,14589.09,1.61
14.32,16.51,49498.64,8.76,27.05,19.25,10.85,5.34,11.9,10.6,6.27,14599.41,0.96
14.33,16.63,49958.46,8.72,27.12,19.39,10.83,5.39,12.35,10.64,6.32,14639.87,0.91
16.4,19.44,45204.24,9.32,25.78,25.24,12.42,4.59,15.89,10.75,5.71,14567.62,2.1
26.94,29.04,44011.92,4.93,15.8,44.79,9.77,1.58,28.73,9.3,5.51,16576.87,1.76
26.63,31.38,39546.62,7.3,17.75,49.69,8.11,0.06,29.74,7.59,6.33,18076.08,1.46
23.06,28.92,40028.29,7.08,18.64,44.88,12.56,0.08,39.91,9.3,6.09,17696.06,2.61
27.07,28.3,45410.24,4.09,15.01,43.07,10.34,2.11,28.23,9.93,5.22,16013.11,1.91
22.43,25.04,45825.2,9.01,14.12,68.48,7.51,0.02,47.98,6.44,6.34,18424.73,5.53
29.11,33.26,49125.72,8.58,15.88,57.21,7.51,0.08,48,8.01,6.18,18400,2.43
22.41,25.35,46442.28,8.99,14.35,67.87,7.59,0.08,48,6.49,6.18,18400,5.39
22.32,25.14,46126.21,8.9,14.34,67.99,7.66,0.05,47.94,6.41,6.33,18446.4,5.43
25.04,29.11,16645.13,9.08,25.57,41.15,6.39,6.18,31.19,6.98,5.62,5320.3,0.73
15.26,19.3,10353.78,7.96,24.43,45.84,6.86,5.37,26.39,8.81,6.34,4151.44,0.81
15.18,19.22,10388.73,8.11,24.06,45.72,7.01,5.46,26.47,8.75,6.32,4097.82,0.8
29,30.96,25679.77,5.96,27.21,30.37,6.83,6.26,30.39,6.3,6.23,7346.89,0.82
44.17,45.5,3781.79,5.4,22.96,37.41,10.16,2.16,26.62,8.24,6.38,8073.14,6.57
44.02,45.61,4080.81,5.38,22.9,37.64,10.38,2.15,26.58,8.33,6.39,8123.95,6.67
44.35,45.97,4115.34,5.39,23.23,37.47,10.21,2.06,26.77,8.27,6.38,8167.26,6.62
44.22,45.73,3562.26,5.46,23.11,37.85,10.34,2.12,27.07,8.25,6.38,8245.75,6.58
35.37,41.13,31593.51,8.35,17.73,63.46,7.48,0.08,41.81,6.17,5.9,17853.35,2.55
35.42,42.22,31920.02,7.53,19.15,64.69,9.45,0.08,42.17,6.28,5.62,17907.13,2.95
35.58,41.98,31761.18,7.72,19.18,65.04,9.24,0.08,42.36,6.43,5.76,17859.7,2.83
34.79,41.28,31924.79,8.23,16.76,61.52,6.95,0.08,40.94,5.59,5.6,17979.38,2.71
23.38,22.66,45118.4,8.29,33.83,52.65,6.12,7.01,28.65,4.82,5.98,16305.43,3.62
23.3,22.72,45102.43,8.28,33.76,52.71,6.26,7,28.44,4.92,6,16323.3,3.6
22.58,25.23,44752.79,8.05,32.31,52.25,8.71,6.88,24.4,6.98,5.61,16597.57,3.32
22.67,26.06,45555.38,8.23,33.69,51.49,9.07,6.9,23.4,7.11,6.34,16690.35,2.91
39.66,40.24,45583.16,1.03,12.37,77.11,11.84,3.07,39.04,6.93,6.41,15020.45,2.1
39.77,40.71,45728.63,0.9,12.57,76.35,11.98,3.05,38.89,6.9,6.43,15080.88,2.06
40,40.6,45622.75,0.98,12.54,76.84,11.83,3.1,39.07,6.81,6.43,14955.86,1.97
39.71,40.58,45285.3,0.96,12.49,77.1,11.92,3.02,38.88,6.99,6.41,15162.15,2.03
23.85,27.01,44697.73,7.52,33.43,44.11,7.33,6.89,24.32,6.46,4.8,16381.38,3.46
21.21,25.96,44612.75,7.47,34.6,39.71,7.91,6.91,20.83,7.1,6.41,16583.83,3.17
21.71,25.35,44320.01,7.18,34.78,42.35,7.94,6.9,22.02,6.65,6.21,16475.97,3.33
21.15,25.46,44589.27,7.64,33.98,43.06,8.26,6.9,21.4,7.18,6.41,16621.49,3.19
38.23,38.57,24240.95,6.06,23.53,31.36,18.59,5.44,22.23,11.45,6.44,11561.35,1.61
37.64,39.55,24525.42,6.95,24.58,32.68,19.68,5.15,22.74,13.47,5.83,11509.61,1.9
37.98,38.77,24460.32,6.29,23.13,31.55,18.73,5.4,22.24,11.24,6.47,11601.43,1.57
38.28,38.69,24598.16,6.2,23.53,31.41,18.63,5.35,22.05,11.46,6.47,11493.7,1.68
23.46,25.83,36358.06,9.25,18.36,46.57,12.12,2.71,31.79,5.79,5.52,13711.15,2.6
22.6,28.42,40140.8,7.03,18.64,44.03,13.06,0.08,40.95,9.46,6.04,17749.43,2.74
30.43,34.65,49382.81,8.48,16.44,55.24,7.44,0.13,48.12,8.35,5.99,18498.83,1.89
28.37,32.38,65289.49,5.85,19.36,54.38,10.33,0.21,41.69,8.59,5.98,21861.5,4.13
11.81,14.32,67132.42,10.49,12.32,31.08,5.98,0.13,25.88,5.06,5.37,20949.47,2.64
37.08,40.33,31073.76,8.2,19.5,73.88,8.71,0.08,43.18,6.39,5.8,18049.41,3.2
17.51,21.23,47413.09,3.58,18.4,41.75,10.25,4.22,27.12,14.88,5.84,14771.81,2.63
18.6,21.87,49460.71,1.43,28.7,65.95,12.34,0.79,36.36,9.15,6.05,16990.96,3.68
16.92,19.36,53894.51,10.56,17.01,33.99,7.2,4.76,18.29,5.22,4.72,13639.21,2.28
22.94,24.11,43903.89,6.76,34.93,49.92,8.25,6.88,24.85,5.78,5.78,16285.59,3.61
18.18,20.86,53302.31,10.43,17.99,31.45,7.07,4.48,15.75,5.38,5.19,13628.61,2.48
26.24,28.94,66720.12,8.79,18.37,40.92,8.35,0.13,35.69,7.69,5.21,22040.15,2.79
25.79,30.83,44860.01,2.56,27.41,57.65,9.82,1.87,28.2,9.08,5.29,18817.38,3.66
30.57,33.5,51849.58,8.24,15.78,42.61,10.34,0.13,38.08,6.7,4.71,19314.81,3.55
35.39,38.93,34106.97,6.08,30.87,63.91,12.29,0.07,42.67,10.22,5.89,18495.78,3.19
22.01,23.62,21968.04,8.31,20.05,43.04,11.66,0.13,35.52,7.63,5.59,17344.41,6.34
12.74,15.28,67146.41,10.05,11.88,33.2,6.94,0.14,25.19,5.25,5.67,21105.89,1.82
15.56,17.67,65982.83,9.54,11.76,26.89,6.4,0.13,23.69,5.25,4.84,20539.8,1.73
27.77,32.9,41369.24,6.44,17.85,57.13,11.47,0.05,38.89,10.56,5.83,17731.9,3.18
32.21,31.4,35578.42,6.61,24.29,36.16,23.37,1.61,27.84,12.77,6.15,14230.22,2.51
21.06,23.57,50980.74,1.71,28.61,66.74,11.34,0.77,37.17,8.7,5.66,16868.22,3.82
12.9,13.87,66360.98,9.47,13.66,37.21,8.51,0.14,22.65,5.94,5.36,20634.15,2.15
26.55,28.91,66994.94,8.59,18.79,37.15,8.06,0.13,34.02,8.12,5.01,21912.66,2.14
35.12,38.71,31652.52,8.57,17.67,68.43,8.35,0.08,42.49,5.96,5.68,18050,3.36
29.69,33.18,49698.19,7.98,14.8,43.05,7.98,0.13,39.39,6.34,4.55,18455.82,3.96
19,22.76,66814.04,9.37,15.13,67.5,7.08,0.22,38.5,5.57,5.66,22047.99,3.67
34.36,41.28,32335.51,7.58,18.11,62.81,9.41,0.08,41.68,5.81,5.38,18010.27,3.28
30.37,39.46,43823.63,8.41,14.77,77.04,5.87,0.07,49.92,7.43,5.91,18121.73,5.02
22.73,24.44,66055.55,9.51,13.06,33.28,9.26,0.13,24.61,7.31,5.67,20568.66,2.11
21.78,24.21,66389.18,10.35,12.83,41.85,8.16,0.13,26.7,6.14,5.52,20517.6,2.66
23.99,26.7,49661.52,2.15,30.06,64.08,9.44,1.93,33.77,7.35,5.11,16538.77,4.11
21.54,23.59,52882.62,10.24,18.46,31.03,9.07,4.17,15.33,7.09,4.24,13880.43,2.72
14.13,16.83,14282.87,8.22,25.01,48.22,6.23,5.57,27.89,7.82,5.73,5018.94,0.75
23.41,27.08,46007.79,8.23,34.51,50.06,8.89,6.91,23.4,6.97,6.31,16663.14,2.76
27.04,27.94,45688.79,3.92,14.75,42.98,10.41,2.18,28.29,10.12,5.14,15663.29,1.92
25.19,30.32,46548.91,4.55,15.77,59.48,9.64,3.83,31.7,5.49,5.67,16150.21,1.97
14.7,18.25,44582.38,8.63,32.47,56.87,7.74,7.02,28.18,7.83,5.09,16428.36,3.8
30.28,34.6,20694.1,9.68,26.42,38,6.18,6.59,33.36,5.99,5.24,6019.98,0.71
19.14,20.62,69274.03,14.44,13.15,44.57,7.14,0.08,31.31,5.36,4.8,21687.75,3.08
24.22,26.04,36535.3,8.89,19.56,45.29,11.77,1.8,33,4.49,5.21,12897.99,2.56
